ALCOHOL_NAME,CATEGORY,COUNTRY_OF_ORIGIN,COM,ABV,VOLUME,PRICE
레몬사와(논알콜음료),맥주,일본,"산토리 ",0,350,2480
수퍼드라이 생맥주캔 340ml,맥주,일본,아사히 주류,5,340,3000
기린이치방 6ea,맥주,일본,기린 브류어리,5,500,13500
삿포로캔 500ml,맥주,일본,삿포로 브류어리,5,500,3000
삿포로 에비스 맥주500ml × 3캔,맥주,일본,삿포로 브류어리,5,500,10000
구스아일랜드 IPA캔,맥주,한국,오비맥주㈜,5.9,473,2500
구스덕덕세션 IPA캔,맥주,한국,오비맥주㈜,4.7,500,3000
구스312어반위트캔,맥주,한국,오비맥주㈜,4.2,473,3000
파울라너바이스비어캔500,맥주,한국,하이트진로㈜,5.5,500,4900
파울라너뮌휀라거캔,맥주,독일,파울리너,4.9,500,2800
타이거포멜로캔,맥주,SG,하이네켄 아시아 퍼시픽,2,500,4500
크로넨버그 로제캔,맥주,한국,하이트진로㈜,4.5,500,3000
코젤화이트캔,맥주,칠레,벨코포포빅키 코젤,3.5,500,2700
코젤라거캔,맥주,칠레,벨코포포빅키 코젤,4.6,500,2700
코젤다크캔 x 4캔,맥주,칠레,벨코포포빅키 코젤,3.8,500,7800
칼스버그캔,맥주,독일,칼스버그,5,500,2300
칭따오 캔,맥주,중국,칭다오맥주고분유한공사,5,500,2500
칭따오 병,맥주,중국,칭다오맥주고분유한공사,5,640,4500
듀체스 드 부르고뉴,맥주,벨기에,페어헤게 브루어리,6.2,750,17000
로덴바흐 그랑 크뤼,맥주,벨기에,브라우어리 로덴바흐,6,750,19200
빈땅,맥주,인도네시아,하이네켄 아시아 퍼시픽,4.7,330,3500
라 트라페 쿼드루펠,맥주,네덜란드,브루어리 코닝스호벤,10,750,19500
델리리움 트레멘스,맥주,벨기에,위그 브루어리,8.5,750,18500
골든 오차드,맥주,한국,와일드웨이브,6,750,22100
서울숲 수제라거 캔500ml x 6캔,맥주,한국,어메이징부루잉컴퍼니,5.3,500,12500
곰표 밀맥주 캔,맥주,한국,제주맥주,4.5,500,3000
에델바이스 피치캔,맥주,오스트리아,브라우 유니언,4.5,500,2800
기네스 콜드브루 캔440ml x 4캔,맥주,아일랜드,디아지오,4.1,440,12000
인디카 IPA,맥주,미국,로스트 코스트 브루어리,6.5,355,4500
아잉거 알트 바이리쉬 둔켈,맥주,독일,브루어리 아잉,5.8,500,5800
