ALCOHOL_NAME,CATEGORY,COUNTRY_OF_ORIGIN,COM,ABV,VOLUME,PRICE
닷사이 준마이 다이긴죠23,사케,일본,아사히 주조,15,720,140000
닷사이 스파클링 45,사케,일본,아사히 주조,14,720,25600
닷사이 소주 39도,사케,일본,아사히 주조,39,720,39700
오카네,사케,일본,삼복 주조,13.5,900,15000
쿠보타  만쥬 준마이 다이긴죠,사케,일본,"사히 주조 ",15.5,720,133900
핫카이산 준마이 다이긴죠,사케,일본,핫카이산,17,720,44900
코시노칸바이 벳센 긴죠,사케,일본,이시모토 주조,16,720,17500
샤라쿠 준마이긴죠 준아이시코미,사케,일본,미야이즈미,16,720,26400
나베시마 토쿠베츠준마이 나마,사케,일본,후쿠치요 주조,15,720,26400
히로키 토쿠베츠준마이 무로카나마겐슈,사케,일본,히로키 주조,17,1800,82900
간바레 오또상,사케,일본,태산주류,14.5,900,20000
신슈키레이 히토고코치 준마이,사케,일본,오카자키,15,720,26400
오쿠노카미 준마이긴죠 무쵸우세이 히이레,사케,일본,토시마야 주조,16,720,26400
카모시비토쿠헤이지 준마이다이긴죠 오마치50,사케,일본,반죠우 양조,16,720,26400
지콘 준마이긴죠 토죠우야마다니시키,사케,일본,키야쇼우 주조,15,720,123700
시치다 준마이긴죠 아이야마50,사케,일본,텐진 주조,15,720,26400
시치다 준마이무로카오리가라미,사케,일본,텐진 주조,17.5,720,21200
니토 준마이 만자이70,사케,일본,마루이시 양조,16,720,26400
가산류 후쿠로도리 준마이다이긴죠 고쿠게츠,사케,일본,신도 주조점,16,1800,55600
가산류 키사라기 다이긴죠,사케,일본,신도 주조점,14,720,29200
가산류 키사라기 준마이긴죠나마슈,사케,일본,신도 주조점,14,720,29200
스이게이 토쿠베츠준마이,사케,일본,스이게이 주조,15,720,26400
카제노모리 아키츠호 507,사케,일본,유우초우 주조,17,720,26400
카제노모리 오마치 807,사케,일본,유우초우 주조,17,720,19400
카제노모리 츠유바카제807,사케,일본,유우초우 주조,17,720,22900
타카치요 SUMMER BLUE 준마이다이긴죠,사케,일본,"타카치오 주조 ",16,500,22900
타카치요 59 준마이긴죠 미야마시키,사케,일본,"타카치오 주조 ",16,500,19400
기교우 준마이겐슈 60% 나마,사케,일본,산충본가,16,720,26400
히란 니코마루 QUEEN,사케,일본,사이야 주조,16,720,35300
무라유우 준마이긴죠 곤루리라벨 나마,사케,일본,무라우유 주조,15,1800,70700
