ALCOHOL_NAME,CATEGORY,COUNTRY_OF_ORIGIN,COM,ABV,VOLUME,PRICE
The Guv'nor red,와인,스페인,Félix Solís Avantis,14,750,9990
The Guv'nor VIP,와인,스페인,Félix Solís Avantis,14,750,"11,990"
The Guv'nor Rose,와인,스페인,Félix Solís Avantis,13,750,8989
Bread & Butter Chardonnay,와인,미국,Bread & Butter,13,750,15850
Oyster Bay Sauvinon Blanc,와인,뉴질랜드,Oyster Bay,12,750,12490
Louis Latour Macon Lugny 'Les Genievres',와인,프랑스,Louis Latour,12,750,17990
Bread & Butter 'Pinot Noir',와인,미국,Bread & Butter Wines,13.5,750,15850
La gioiosa gold prosecco doc treviso,와인,이탈리아,"La Gioiosa SPA, Crocetta Del Montello (TV)",11,750,12990
Bouvet Ladubay Saphir Brut Vintage,와인,프랑스,Bouvet Ladubay,12.5,750,13990
"LB7 Red 2020/21, Lisbon",와인,포르투갈,Lisbon,13.5,750,8989
"The Ned 'Waihopai River' Sauvignon Blanc 2023, Marlborough",와인,뉴질랜드,Marlborough,12.5,750,11990
"Chosen By Majestic Greek White 2022, Peloponnese",와인,그리스,Peloponnese,13,750,10619
"Miraval Rose 2021/22, Cotes de Provence",와인,프랑스,Cotes de Provence,12.5,750,33512
"Peyrassol 'Reserve des Templiers' Rose 2022, Cotes de Provence",와인,프랑스,Côtes de Provence,13,750,15850
"Caves d'Esclans 'Whispering Angel' Rose 2022, Cotes de Provence",와인,프랑스,Cotes de Provence,13,750,39791
"Two Hands 'Angels' Share' Shiraz 2021/22, McLaren Vale",와인,호주,McLaren Vale,14.4,750,34007
Cave de Lugny 'Reserve' Macon-Chardonnay 2021/22,와인,프랑스,Cave de Lugny,13,750,15850
"Villa Maria 'Private Bin' Sauvignon Blanc 2022, Marlborough",와인,뉴질랜드,Marlborough,13,750,"12,490"
"Nyetimber 'Classic Cuvee D' Brut, Sussex",와인,잉글랜드,Sussex,12,750,62705
La Gioiosa Prosecco Valdobbiadene DOCG,와인,이탈리아,La Gioiosa,11,750,15850
"Definition English Sparkling Brut, Hampshire",와인,잉글랜드,Hampshire Hampshire,12,750,46790
"Chapel Down Brut, Kent",와인,잉글랜드,Kent Kent,12,750,46790
"Mud House Sauvignon Blanc 2022, Marlborough",와인,뉴질랜드,Marlborough,13,750,11990
"Chateau De Berne Inspiration Rose 2021/22, Cotes de Provence",와인,프랑스,Cotes de Provence,12.5,750,17990
"Domaine La Chautarde Rose 2022, Coteaux Varois en Provence",와인,프랑스,Coteaux Varois en Provence,13,750,13990
Marques de Riscal Rioja Reserva 2018/19,와인,스페인,Marqués de Riscal,14,750,17990
"Ridgeview 'Cavendish' Brut, Sussex",와인,잉글랜드,Sussex,12,750,31191
"The Ned ‘Skyscraper’ Sauvignon Blanc 2022, Marlborough",와인,뉴질랜드,Marlborough,12.5,750,14990
"Bread & Butter 'Winemaker's Selection' Cabernet Sauvignon 2021, California",와인,미국,Bread & Butter,13.5,750,15850
"Balfour ‘The White’ 2021, Kent",와인,잉글랜드,Balfourwinery,11.5,750,16843
Jas des Vignes Rose Mediterranee 2021/22,와인,프랑스,Château Vignelaure,13,750,11990
The Gathering Storm Red 2022,와인,스페인,La Puebla winery,12,750,7989
"Peyrassol ‘Les Commandeurs’ Organic Rose, Cotes de Provence 2022",와인,프랑스,Côtes de Provence 2022,13,750,23379
"Abbotts & Delaunay 'Les Fleurs Sauvages' Viognier 2021/22, Languedoc",와인,프랑스,Languedoc,13.5,750,11990
"Beato Bartolomeo Pinot Grigio Superiore, Breganze DOC 2022",와인,이탈리아,Breganze DOC 2022,12.5,750,9990
"Nyetimber Brut Rose, Sussex",와인,잉글랜드,Sussex,12,750,82144
"Brancott Estate Sauvignon Blanc 2022, Marlborough",와인,뉴질랜드,Marlborough Marlborough,13,750,12490
Cave de Lugny 'Les Pierres Blanches' Bourgogne Chardonnay 2022,와인,프랑스,Cave de Lugny,13,750,14990
"Chapel Down English Sparkling Rose, Kent",와인,잉글랜드,Kent,12,750,46790
"Vinalba Reserve Malbec 2020/21, Mendoza",와인,아르헨티나,Mendoza Mendoza,14,750,12990
