ALCOHOL_NAME,CATEGORY,COUNTRY_OF_ORIGIN,COM,ABV,VOLUME,PRICE
입장탁주,전통주,한국,(농) 입장주조㈜,6,750,1000
자연담은 복분자막걸리,전통주,한국,(농)국순당고창명주㈜,6,360,3900
로얄 안동소주,전통주,한국,(농)유토피아㈜,45,600,101250
순창 지란지교 프리미엄 탁주 [2ea],전통주,한국,(유)친구들의 술 지란지교,13,500,30000
지란지교 무화과 탁주 [2ea],전통주,한국,(유)친구들의술지란지교,12,500,34000
지란지교 약주,전통주,한국,(유)친구들의술지란지교,17,500,30000
가야 프리미엄 막걸리,전통주,한국,가야양조장,6,750,5990
님 그리다,전통주,한국,가야양조장,6,750,9020
모리,전통주,한국,강산명주,19,375,8820
연희유자,전통주,한국,같이양조장,10,375,10000
연희장미,전통주,한국,같이양조장,10,375,10000
연희민트,전통주,한국,같이양조장,9,375,10000
연희매화,전통주,한국,같이양조장,12,375,10000
산내울 사과애주,전통주,한국,거창사과원예농협,16,750,6180
산내울 복분자주,전통주,한국,거창사과원예농협,16,750,6180
장보고의 꿈 황칠약주,전통주,한국,고금주조장,15,500,28500
고흥 풍양 유자막걸리,전통주,한국,고금주조장,6,750,2660
징기스칸 브랜디,전통주,한국,고도리 와이너리,40,375,49500
고창선운산 복분자주 특1호,전통주,한국,고창선운산,16.5,1800,23000
고창선운산 흥진 복분자주,전통주,한국,고창선운산,16,375,6600
동학 1957,전통주,한국,고헌정영농조합법인,13,375,4420
골목막걸리 프리미엄 12,전통주,한국,골목양조장,12,350,8070
과천미주,전통주,한국,과천도가,9,500,8550
경주교동법주 송학 1호,전통주,한국,교동법주,16,900,43500
오디랑,전통주,한국,국순당고창명주㈜,12.5,330,6090
명작복분자,전통주,한국,국순당고창명주㈜,13,375,6820
선운산의 아침 복분자 막걸리,전통주,한국,국순당고창명주㈜,6,750,4500
바랑 탁,전통주,한국,금계당,15,375,18000
별바랑,전통주,한국,금계당,17.5,375,27000
